epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,8427.89,0.94936,0.53102,0.98322,0.74043,0.7878,0.78343,0.5281,1.17184,0.71902,1.15928,0.0067825,0.0067825,0.0067825
67,8552.04,0.95331,0.53457,0.98726,0.73739,0.79308,0.782,0.53183,1.16885,0.72536,1.16079,0.006733,0.006733,0.006733
68,8679.28,0.94509,0.53039,0.98092,0.74594,0.7836,0.78292,0.5295,1.17183,0.72532,1.16445,0.0066835,0.0066835,0.0066835
69,8807.43,0.94132,0.52716,0.98409,0.75848,0.77113,0.78077,0.52377,1.17356,0.71703,1.1678,0.006634,0.006634,0.006634
70,8935.16,0.9434,0.52231,0.98101,0.75841,0.78664,0.78538,0.52756,1.17377,0.71334,1.16759,0.0065845,0.0065845,0.0065845
71,9063.17,0.93246,0.5208,0.9761,0.77078,0.77865,0.78736,0.52693,1.17441,0.7073,1.16592,0.006535,0.006535,0.006535
72,9194.86,0.92684,0.5187,0.9748,0.77374,0.76958,0.78661,0.52572,1.17768,0.70576,1.16814,0.0064855,0.0064855,0.0064855
73,9323.64,0.93504,0.51481,0.97853,0.77801,0.75205,0.78472,0.52304,1.17789,0.70584,1.1689,0.006436,0.006436,0.006436
74,9451.65,0.92189,0.51464,0.97387,0.77956,0.76164,0.78253,0.51871,1.18045,0.70499,1.17276,0.0063865,0.0063865,0.0063865
75,9581.52,0.91937,0.50926,0.96986,0.77778,0.76438,0.78206,0.51672,1.18153,0.70732,1.17678,0.006337,0.006337,0.006337
76,9711.03,0.90393,0.50147,0.96491,0.77334,0.75337,0.78027,0.51749,1.18018,0.71268,1.17715,0.0062875,0.0062875,0.0062875
77,9841.37,0.90879,0.50607,0.96587,0.77858,0.74735,0.77764,0.51745,1.17881,0.71321,1.17746,0.006238,0.006238,0.006238
78,9973.32,0.90793,0.50753,0.96491,0.78434,0.73534,0.77787,0.52002,1.18145,0.71126,1.17955,0.0061885,0.0061885,0.0061885
79,10106,0.89725,0.50055,0.96315,0.77312,0.74128,0.77688,0.51934,1.18243,0.7123,1.18118,0.006139,0.006139,0.006139
80,10229.3,0.89743,0.49847,0.96178,0.77109,0.74562,0.77833,0.51697,1.18424,0.7129,1.18318,0.0060895,0.0060895,0.0060895
81,10352.4,0.88745,0.48704,0.96123,0.75332,0.76232,0.77698,0.51561,1.18651,0.71479,1.18549,0.00604,0.00604,0.00604
